
"ID","Statut","Titre","Identifiant","Description","Catégorie","Thème","Propriétaire","Diffuseur","Note","Couverture","Langue","Date publication","Periode validitée","Date mise à jour","Mots clés","Licence","URL",
 
     124,"pub","Antennes relais et fréquences électromagnétiques","VilleMTP_ANFR_Antennes","Cette donnée renseigne l'emplacement des antennes relais ainsi que les mesures des champs électromagnétiques sur la commune de Montpellier. Elle comporte trois fichiers, un sur les supports d'antenne, un sur les mesures et un dernier sur la description des données. 

Ces données sont la propriété de l'Agence Nationale des Fréquences (ANFR), elles sont extraites de l'outil Cartoradio (http://www.cartoradio.fr/cartoradio/web/). Pour accéder à la description complète de Cartoradio : http://www.anfr.fr/fr/protection-co... Ces données évoluent rapidement, nous vous invitons à vérifier directement les dernières versions via l'outil Cartoradio. 

Cartoradio permet, d'une part, de connaître l'emplacement des stations radioélectriques et, d'autre part, d'avoir accès, pour un site donné, aux résultats des mesures de champs électromagnétiques synthétisés par une fiche de mesures. 

Sur Cartoradio figurent toutes les installations radioélectriques de plus de 5 watts, hormis celles de l'Aviation Civile et des ministères de la Défense et de l'Intérieur, pour des raisons de sécurité. 

Toutes les données présentées proviennent d'une base de données de l'ANFR alimentée par tous les exploitants d'installations radioélectriques, publics ou privés, dans le cadre de la procédure administrative prévue par l'article L.43 du code des postes et communications électroniques. L’ANFR en lien avec la Commission des Sites et Servitudes (COMSIS) reçoit de chaque opérateur ou administration qui souhaite implanter un émetteur, un dossier qui comporte notamment : les coordonnées géographiques, le type d'équipement, ses paramètres d’utilisation et le respect des seuils d’exposition du public aux champs électromagnétiques. Ces informations sont utiles à l’ANFR pour délivrer une autorisation d’implantation. 

En mai 2012, 159 000 installations autorisées (dont 53 000 installations de téléphonie mobile utilisant du GSM 900 ou du GSM 1800 et 49 000 installations utilisant de l’UMTS) figurent dans Cartoradio. 

IMPORTANT : Ces données sont soumises aux mentions légales de l'ANFR (http://www.anfr.fr/fr/mentions-lega...) et non sous Licence Ouverte. 

Informations publiques et droit de reproduction Le site ANFR.FR et notamment l'application Cartoradio (marque déposée) contiennent des informations publiques au sens de la loi n&#176; 78-753 du 17 juillet 1978 modifiée portant diverses mesures d'amélioration des relations entre l'administration et le public et diverses dispositions d'ordre administratif, social et fiscal. 

Ces informations sont protégées par la Convention de Berne sur la Protection des œuvres littéraires et artistiques, par d'autres conventions internationales et par les législations nationales sur le droit d'auteur et les droits dérivés. 

Elles peuvent être reproduites sous réserve de : 

1) n'être ni altérées ni modifiées, 2) comporter la mention du nom de l'ANFR en tant que source 3) préciser la date de leur mise à jour, 4) faire figurer un lien renvoyant vers la page originale ou le document diffusé sur le site ANFR.FR. 

Toute information provenant du site Internet de l'ANFR doit être reprise intégralement, sans modification ni ajout, sans adjonction publicitaire et doit être téléchargeable gratuitement. A aucun moment, la réutilisation des données ne doit donner l'impression que l'ANFR participe à ou cautionne l'action de l'utilisateur.","Numérique","Localisation","Agence Nationale des Fréquences (ANFR)","Ville de Montpellier","","Ville de Montpellier","français","11.12.2013","Annuelle","2013-12-10","antenne ; antenne relais : téléphone ; télévision ; radio ; champ électromagnétique ; montpellier","Mentions Légales ANFR","http://opendata.montpelliernumerique.fr/Antennes-relais-et-frequences" 
     123,"pub","Registre des délibérations - décisions","VilleMTP_MTP_RDD","Cette donnée renseigne les délibérations exécutoires et les décisions prises lors des conseils municipaux de la Ville de Montpellier à partir de l’année 2010. Les registres sont disponibles sous forme de tome annuel, attention pour chaque année le fichier compressé pèse plus de 500mo.","Politique Publique &amp; Démocratie","Services d&#8217;utilité publique, communication","Ville de Montpellier","Ville de Montpellier","","Ville de Montpellier","français","09.12.2013","Annuelle","2013-12-09","délibération ; décisions ; délibération exécutoire ; conseil municipal ; démocratie ; montpellier","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Registre-des-deliberations" 
     122,"pub","Ville Sans Limite","VilleMTP_MTP_VSL","Cette donnée contient les résultats issus de l'expérimentation Ville Sans Limite qui s'est déroulée sur le quartier de la Ponpignane à Montpellier en juin 2013. Villes sans limite est une expérimentation portée par un cabinet d’urbanisme (UFO dirigé par Alain Renk) et la direction de l’urbanisme de la ville de Montpellier. Il s'agit d'un projet de concertation urbaine utilisant une plateforme de simulation de l’aménagement d’un quartier afin de faire discuter habitants et urbanistes. Le dispositif se présente sous la forme d’une application ipad qui permet de simuler in situ l’aménagement d’un quartier selon plusieurs axes : densité (bâtiments plus ou moins hauts), espace vert (plus ou moins d’arbres), sociabilité (plus ou moins de magasins et équipements publics). Les propositions sont enregistrées, analysées de façon statistiques et alimentent les projets d’architecture qui en découlent. Elles servent aussi de point de départ ou d’appui à des débats citoyens. A Montpellier, le premier quartier d’expérimentation de ce dispositif est la Pompignane. 

Pour télécharger gratuitement l’application ipad sur itunes : https://itunes.apple.com/fr/app/vil... 

Dossier de presse : http://montpellier.territoirenumeri... 

Vous pouvez vous faire une idée de l'application via une version web  allégée  : http://urbanfab.org/VSLweb-Pompigna...","Urbanisme","Services d&#8217;utilité publique, communication","Ville de Montpellier","Ville de Montpellier","","Ville de Montpellier","français","04.12.2013","Annuelle","2013-12-04","Ville sans limite ; urbanisme ; concertation ; Ponpignane ; vsl ; UFO ; montpellier","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Ville-Sans-Limite" 
     121,"pub","Restaurants","OSM_MTP_Restaurants","Publication des données OpenStreetMap à titre expérimental. Cette donnée renseigne l’emplacement des restaurants à Montpellier. Cette donnée n’est pas une donnée institutionnelle issue des services de la Ville, il s’agit d’une donnée citoyenne extraite d’OpenStreetMap. Pour rappel il ne s’agit pas de données métiers, de fait le référentiel utilisé pour la collecte et le stockage ne sont pas du ressort de la ville, mais d’OpenStreetMap. Ceci implique aussi que les données mises à disposition ne sont pas exhaustives, il peut manquer des éléments. Vous êtes ensuite libre de vous engager ou pas à rendre ces bases les plus complètes possible. Enfin, la licence de réutilisation des données n’est pas la même que celle qui encadre les données de la Ville de Montpellier. Alors que les données issues des services sont sous Licence Ouverte, les données issues d’OpenStreetMap sont encadrées par la Licence ODbL. Elles sont donc mises à disposition sur ce portail sous leur licence d’origine.","Patrimoine / Tourisme","Localisation","OpenStreetMap","Ville de Montpellier","","Ville de Montpellier","français","08.10.2013","Annuelle","2013-10-08","restaurant ; restauration ; alimentation ; montpellier","ODbL","http://opendata.montpelliernumerique.fr/Restaurants" 
     120,"pub","Commerces","OSM_MTP_Commerces","Publication des données OpenStreetMap à titre expérimental. Cette donnée renseigne l’emplacement des commerces à Montpellier. Cette donnée n’est pas une donnée institutionnelle issue des services de la Ville, il s’agit d’une donnée citoyenne extraite d’OpenStreetMap. Pour rappel il ne s’agit pas de données métiers, de fait le référentiel utilisé pour la collecte et le stockage ne sont pas du ressort de la ville, mais d’OpenStreetMap. Ceci implique aussi que les données mises à disposition ne sont pas exhaustives, il peut manquer des éléments. Vous êtes ensuite libre de vous engager ou pas à rendre ces bases les plus complètes possible. Enfin, la licence de réutilisation des données n’est pas la même que celle qui encadre les données de la Ville de Montpellier. Alors que les données issues des services sont sous Licence Ouverte, les données issues d’OpenStreetMap sont encadrées par la Licence ODbL. Elles sont donc mises à disposition sur ce portail sous leur licence d’origine.","Économie","Localisation","OpenStreetMap","Ville de Montpellier","","Ville de Montpellier","français","08.10.2013","Annuelle","2013-10-08","commerce ; économie ; achat ; boutique ; proximité ; montpellier","ODbL","http://opendata.montpelliernumerique.fr/Commerces" 
     119,"pub","Fréquentation des services municipaux","VilleMTP_MTP_FrequentationServices","Cette donnée renseigne les taux de fréquentations des services municipaux sous forme de tableau pour : Service Vie quotidienne, Service Population, Service Etat civil, Service Enfance, Service Education, Mairie de proximité Aubes-Pompignane, Mairie de proximité François Villon, Mairie de proximité Mosson, Mairie de proximité Tastavin.","Politique Publique &amp; Démocratie","Services d&#8217;utilité publique, communication","Ville de Montpellier","Ville de Montpellier","","Ville de Montpellier","français","07.10.2013","Annuelle","2013-10-07","frequentation ; service ; enfance ; education ; etat civil","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Frequentation-des-services" 
     118,"pub","Fontaines","VilleMTP_MTP_FontainesPublic","Cette donnée renseigne l’emplacement des fontaines de la Ville de Montpellier.","Urbanisme","Structure, constructions humaines","Ville de Montpellier","Ville de Montpellier","","Ville de Montpellier","français","17.07.2013","Annuelle","2013-07-17","fontaine ; eau ; monument ; décoration ; montpellier ","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Fontaines" 
     115,"pub","Associations","VilleMTP_MTP_ListeAssoc","Liste des associations en contact avec la Ville de Montpellier.","Vie associative","Société","Ville de Montpellier","Ville de Montpellier","","Ville de Montpellier","français","26.06.2013","Annuelle","2013-12-07","association ; action sociale ; sport ; culture ; citoyenneté ; montpellier","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Associations" 
     114,"pub","Tracé du doublement de l'autoroute A9","ASF_MTP_A9Bis","Cette donnée renseigne le tracé du doublement de l’autoroute A9 sur le secteur de Montpellier. La donnée est mise à disposition par ASF.","Transport","Transport","ASF","Ville de Montpellier","","Ville de Montpellier","français","24.05.2013","Annuelle","2013-05-24","autoroute ; a9 ; tracé ; circulation ; montpellier","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Trace-du-doublement-de-l-autoroute" 
     113,"pub","Photographies des monuments","VilleMTP_MTP_PhotosMonuments","Cette donnée comporte différentes photographies des monuments de la Ville de Montpellier. Les photographies ont été prises en majorité lors de l’année 2000. Pour chaque photographie le premier numéro correspond à l’identifiant du monument et le second numéro à l’identifiant de l’espace vert Ville de Montpellier dans les cas ou le monument est présent dans un espace vert Ville de Montpellier. La correspondance des numéros monuments se fait avec la donnée &#171; Monument &#187; disponible en open data : http://opendata.montpelliernumeriqu...","Patrimoine / Tourisme","Structure, constructions humaines","Ville de Montpellier","Ville de Montpellier","","Ville de Montpellier","français","25.04.2013","Annuelle","2013-04-25","photographie ; monument ; espace vert ; parc ; statue ; fontaine ; stèle ; plaque ; tombe ; montpellier","LICENCE OUVERTE / OPEN LICENCE","http://opendata.montpelliernumerique.fr/Photographies-des-monuments" 
