CODE;STRUCTURE;Nature ;Montant 
4038;CLUB PYRAMIDE PHILAE 34 ;F;300 €
4079;Groupe decision ;F;300 €
4355;AMITIE FRANCO-VIETNAMIENNE COMITE HERAULT ;P;300 €
4664;Association des marches paysans de l'Hérault ;F;300 €
4737;CLUB QUESTION POUR UN CHAMPION MONTPELLIER ;P;300 €
4763;MONTPELLIER CUBA SOLIDARITE ;F;300 €
4816;I DILETTANTI ;F;300 €
4826;ASSOCIATION COLONIA ESPAGNOLA DE MONTPELLIER ;F;300 €
5311;HOLDUB COLLECTIF ;P;300 €
;OCCE Sarah BERNHARDT;P;264 €
1634;Volley loisir montpellier ;P;250 €
3440;COMITE DE QUARTIER DE TOURNEZY ;P;250 €
5124;HOMEOPATHIE POUR TOUS ;F;250 €
;OCCE Louis FIGUIER;P;240 €
212;Patrimôme;F;200 €
617;LA 177EME SECTION DES MEDAILLES MILITAIRES ;F;200 €
1005;ARTISANS DU MONDE ;F;200 €
1081;ASSOCIATION NATIONALE DES CHEMINOTS ANCIENS COMBATTANTS ;F;200 €
1203;ASSOCIATION RHIN ET DANUBE ;F;200 €
1204;FONDATION MARECHAL DE LATTRE ;F;200 €
1253;ASSOCIATION PREVENTION ROUTIERE ;P;200 €
1608;AMITIES FRANCO-COLOMBIENNES DE MONTPELLIER ;P;200 €
1760;ASSOCIATION DES COMBATTANTS DE L'UNION FRANCAISE ;F;200 €
2060;ASSOCIATION DES ALGERIENS DU LANGUEDOC-ROUSSILLON ;P;200 €
2060;ASSOCIATION DES ALGERIENS DU LANGUEDOC-ROUSSILLON ;P;200 €
2079;ANCIENS MARINS ET MARINS ANCIENS COMBATTANTS DE MONTPELLIER ;F;200 €
2815;Amis de dalat sur les traces de yersin - adaly ;F;200 €
3756;LES AMIS DE LA BULGARIE ;P;200 €
4234;COMITE DE QUARTIER RICHTER ;P;200 €
4303;AMIS FONDATION MEMOIRE DEPORTATION HERAULT ;F;200 €
4947;ASSOCIATION B'NAI BRITH ;P;200 €
4947;ASSOCIATION B'NAI BRITH ;P;200 €
5508;ULAC MONTPELLIER ;F;200 €
5686;RESEAU D 'AFFAIRES FRANCO-ALLEMAND DU LANGUEDOC ROUSSILON;P;200 €
212;Patrimôme ;P;100 €
212;Patrimôme ;P;100 €
;;;19 256 523 €
